('路明非，不卷你屠什么龙！', 'https://m.bqgl.cc/map//look/188525/')
('银河火花弱？我反手超级融合！', 'https://m.bqgl.cc/map//look/187996/')
('遮天：穿越圣体，镇压黑暗动乱', 'https://m.bqgl.cc/map//look/187928/')
('死遁三年归来，暴君黑化了', 'https://m.bqgl.cc/map//look/188511/')
('学神归来：从竞赛选拔开始', 'https://m.bqgl.cc/map//look/188796/')
('我的哥哥是高欢', 'https://m.bqgl.cc/map//look/188455/')
('吞噬星空：授徒百倍返还', 'https://m.bqgl.cc/map//look/188409/')
('洪荒：开局欠天道亿万功德', 'https://m.bqgl.cc/map//look/188092/')
('雪狼王：开局捡俩婴儿居然是女帝转世？', 'https://m.bqgl.cc/map//look/188787/')
('都二十一世纪了，才捡到传国玉玺', 'https://m.bqgl.cc/map//look/187851/')
('三国：词条融合，改天换命', 'https://m.bqgl.cc/map//look/188259/')
('美利坚打猎：从荒野独居开始', 'https://m.bqgl.cc/map//look/188054/')
('武魂白虎异能锁，举世无双', 'https://m.bqgl.cc/map//look/188501/')
('我具现了蜀山游戏', 'https://m.bqgl.cc/map//look/188516/')
('我的校花女友不可能是恶毒反派！', 'https://m.bqgl.cc/map//look/188185/')
('我在火影世界推广火影忍者手游', 'https://m.bqgl.cc/map//look/188578/')
('重生1961，开局相亲对象就被截胡！', 'https://m.bqgl.cc/map//look/187891/')
('盘龙：从被四神兽家族追杀开始', 'https://m.bqgl.cc/map//look/188111/')
('抗日：从北上抗日第二先遣队开始', 'https://m.bqgl.cc/map//look/188682/')
('大明：我姐是马秀英', 'https://m.bqgl.cc/map//look/188543/')
('星星入我怀（出轨h）', 'https://m.bqgl.cc/map//look/188786/')
('吞噬星空：从雪鹰体系开始崛起', 'https://m.bqgl.cc/map//look/188290/')
('韩城：我与未来有扇门', 'https://m.bqgl.cc/map//look/188329/')
('斗罗：龙王之神明哀歌', 'https://m.bqgl.cc/map//look/188325/')
('我的26岁女总裁', 'https://m.bqgl.cc/map//look/188748/')
('快穿：疯批大佬穿成炮灰女配', 'https://m.bqgl.cc/map//look/187960/')
('斗罗：武魂食铁兽，永不为奴', 'https://m.bqgl.cc/map//look/188418/')
('二手穿越：大耳贼刘备', 'https://m.bqgl.cc/map//look/188433/')
('港片：暗夜刑警', 'https://m.bqgl.cc/map//look/188323/')
('替弟从军成将军，归来问我要战功', 'https://m.bqgl.cc/map//look/188244/')
('综影视：疯批美人她天生恶人', 'https://m.bqgl.cc/map//look/187961/')
('世界不正常？聊天群里有点子王', 'https://m.bqgl.cc/map//look/188807/')
('西游都结束了，完美人生系统才来', 'https://m.bqgl.cc/map//look/188186/')
('我才是徒弟们的随身老爷爷？', 'https://m.bqgl.cc/map//look/187987/')
('第一剑仙', 'https://m.bqgl.cc/map//look/188496/')
('我真没想下围棋啊！', 'https://m.bqgl.cc/map//look/188804/')
('漫画路人的我成了白月光', 'https://m.bqgl.cc/map//look/188006/')
('深情男主都爱恶毒女配', 'https://m.bqgl.cc/map//look/187865/')
('穿书，勾他上位', 'https://m.bqgl.cc/map//look/188085/')
('娱乐：我，神级奶爸！', 'https://m.bqgl.cc/map//look/188089/')
('恶雌腰软超能逃，五个兽夫追疯了', 'https://m.bqgl.cc/map//look/188512/')
('觉醒词条，我要当顶级神探！', 'https://m.bqgl.cc/map//look/188646/')
('型月，我的九重道路', 'https://m.bqgl.cc/map//look/188691/')
('这个书生有点狠', 'https://m.bqgl.cc/map//look/188754/')
('重生八零之辣妻有空间', 'https://m.bqgl.cc/map//look/188146/')
('绝美人鱼穿八零，全家排队宠不停', 'https://m.bqgl.cc/map//look/188495/')
('诸天：谁把他放进恐怖片的？', 'https://m.bqgl.cc/map//look/188265/')
('美人娘亲被巧取豪夺后', 'https://m.bqgl.cc/map//look/188371/')
('洪荒：闭关百万年，出关斩圣人', 'https://m.bqgl.cc/map//look/188506/')
('诛仙：获得十倍天赋，剑开天门', 'https://m.bqgl.cc/map//look/188820/')
('四合院，傻柱：我这辈子父母双全', 'https://m.bqgl.cc/map//look/188324/')
('帝骑弱，关我激情帝骑什么事？', 'https://m.bqgl.cc/map//look/188492/')
('你不许当宝可梦训练家！', 'https://m.bqgl.cc/map//look/188059/')
('两界：魔修误入领主世界', 'https://m.bqgl.cc/map//look/188337/')
('华娱从流星花园开始', 'https://m.bqgl.cc/map//look/188297/')
('穿成向导，被六个顶级哨兵盯上了', 'https://m.bqgl.cc/map//look/188023/')
('瘤剑仙', 'https://m.bqgl.cc/map//look/188435/')
('我以灵宝铸长生', 'https://m.bqgl.cc/map//look/188037/')
('清冷师尊爬我墙，满门疯批哭红眼', 'https://m.bqgl.cc/map//look/188015/')
('海贼：百兽团的地灾固拉多', 'https://m.bqgl.cc/map//look/188457/')
('LOL：什么叫做概念神选手啊！', 'https://m.bqgl.cc/map//look/188745/')
('徒儿别眨眼，为师这一剑很帅！', 'https://m.bqgl.cc/map//look/188211/')
('名义：我下场后，祁同伟必须进步', 'https://m.bqgl.cc/map//look/188714/')
('海洋领主：从成为钓鱼佬开始', 'https://m.bqgl.cc/map//look/188362/')
('教小火龙焚决的抽象训练家', 'https://m.bqgl.cc/map//look/188061/')
('龙族：逼我重生，还要我屠龙', 'https://m.bqgl.cc/map//look/188746/')
('我以科举证长生', 'https://m.bqgl.cc/map//look/188063/')
('仙家', 'https://m.bqgl.cc/map//look/188742/')
('柯南之死神盯上我', 'https://m.bqgl.cc/map//look/188390/')
('修仙：我用磁场证道', 'https://m.bqgl.cc/map//look/188300/')
('修真马甲，但走错漫画片场', 'https://m.bqgl.cc/map//look/188554/')
('平平无奇四公主（清穿）', 'https://m.bqgl.cc/map//look/188394/')
('遮天：开局拜入摇光圣地', 'https://m.bqgl.cc/map//look/188431/')
('隐藏职业？确定不是捡老婆外挂？', 'https://m.bqgl.cc/map//look/188584/')
('打猎：从官府发媳妇开始抓熊赶虎', 'https://m.bqgl.cc/map//look/188817/')
('围棋：开局二杠十六，指点佐为', 'https://m.bqgl.cc/map//look/188114/')
('撞邪', 'https://m.bqgl.cc/map//look/187941/')
('血肉蜕变：杀穿地狱999层', 'https://m.bqgl.cc/map//look/187952/')
('斗罗：我，举世仙师，收徒宁荣荣', 'https://m.bqgl.cc/map//look/188505/')
('我这平淡的修仙之路不该就此断绝', 'https://m.bqgl.cc/map//look/188339/')
('天使6', 'https://m.bqgl.cc/map//look/188155/')
('重生60年代纵横北境', 'https://m.bqgl.cc/map//look/187850/')
('让你cos，你真合体帝皇铠甲？', 'https://m.bqgl.cc/map//look/188246/')
('首长只想当哥？重生不嫁了成全他', 'https://m.bqgl.cc/map//look/188223/')
('神诡世界：道爷我杀疯了', 'https://m.bqgl.cc/map//look/187868/')
('1980：我有一口灵泉', 'https://m.bqgl.cc/map//look/187933/')
('玄幻：镇守剑阁！我是主角投资人', 'https://m.bqgl.cc/map//look/188149/')
('星渊行者', 'https://m.bqgl.cc/map//look/188068/')
('我有一鼎混沌钟', 'https://m.bqgl.cc/map//look/188598/')
('斗罗：点评比比东，历代最差教皇', 'https://m.bqgl.cc/map//look/188001/')
('女总裁的贴身狂婿', 'https://m.bqgl.cc/map//look/188086/')
('春夜难缠', 'https://m.bqgl.cc/map//look/188199/')
('斗罗：凤神降临，帝炎焚天', 'https://m.bqgl.cc/map//look/188813/')
('让你开宠兽店，你缔造神话御兽时代？', 'https://m.bqgl.cc/map//look/187940/')
('你不努力我怎么当上海贼王？', 'https://m.bqgl.cc/map//look/188719/')
('都重生了谁还打网球啊', 'https://m.bqgl.cc/map//look/188484/')
('工业克苏鲁不相信末日', 'https://m.bqgl.cc/map//look/188043/')
('射雕：从被逐出桃花岛开始', 'https://m.bqgl.cc/map//look/188338/')
('从散修家族开始，每日情报', 'https://m.bqgl.cc/map//look/188260/')
('杀猪二十年，我真不是雨夜屠夫！', 'https://m.bqgl.cc/map//look/188587/')
('末世，我能吞噬万物要系统有啥用', 'https://m.bqgl.cc/map//look/188594/')
('直播：我说没杀过人，测谎仪响了', 'https://m.bqgl.cc/map//look/187919/')
('全民修仙时代，系统让我当魔头？', 'https://m.bqgl.cc/map//look/187991/')
('醉枕江山', 'https://m.bqgl.cc/map//look/187887/')
('人在盗墓：从精绝古城开始', 'https://m.bqgl.cc/map//look/188164/')
('洪荒：掌管地府！后土被冲麻了！', 'https://m.bqgl.cc/map//look/188274/')
('步步登阶', 'https://m.bqgl.cc/map//look/187845/')
('人在吞噬，浪穿宇宙', 'https://m.bqgl.cc/map//look/188421/')
('谍战，都别猜了，我真是卧底啊', 'https://m.bqgl.cc/map//look/187876/')
('天灾降临：囤货千亿我在末世杀穿了', 'https://m.bqgl.cc/map//look/188116/')
('谍战：开局掌握军统十大酷刑', 'https://m.bqgl.cc/map//look/187935/')
('神葬塔', 'https://m.bqgl.cc/map//look/188225/')
('斗罗：娶妻水冰儿，奖励谱尼武魂', 'https://m.bqgl.cc/map//look/188353/')
('退婚后，师姐要双修，我神体觉醒', 'https://m.bqgl.cc/map//look/187912/')
('救命！怀了回城知青的崽怎么办？', 'https://m.bqgl.cc/map//look/188708/')
('科举，农家子的权臣之路', 'https://m.bqgl.cc/map//look/188230/')
('夫父何求', 'https://m.bqgl.cc/map//look/188797/')
('武侠世界，红尘剑仙', 'https://m.bqgl.cc/map//look/188474/')
('重生八零改嫁随军，白眼狼悔哭了', 'https://m.bqgl.cc/map//look/188030/')
('网游：开局刮刮乐，觉醒唯一SSS天赋', 'https://m.bqgl.cc/map//look/188166/')
('阿姐，我中举了！', 'https://m.bqgl.cc/map//look/188608/')
('领主：从词条开始无敌', 'https://m.bqgl.cc/map//look/188147/')
('休夫', 'https://m.bqgl.cc/map//look/188217/')
('诡梦迷城', 'https://m.bqgl.cc/map//look/188664/')
('子不类父', 'https://m.bqgl.cc/map//look/188647/')
('九龙夺嫡，我真不想当太子', 'https://m.bqgl.cc/map//look/188082/')
('八零年代娇艳大美人', 'https://m.bqgl.cc/map//look/188126/')
('人在香江，家父是包船王', 'https://m.bqgl.cc/map//look/187917/')
('逆徒下山：总裁娇妻你别跑！', 'https://m.bqgl.cc/map//look/188154/')
('太子爷嚣张狂妄，却对她俯首称臣', 'https://m.bqgl.cc/map//look/188541/')
('局部暴雨', 'https://m.bqgl.cc/map//look/188553/')
('跟你们天龙人说不明白', 'https://m.bqgl.cc/map//look/187975/')
('我功德无量，娘子是妖又何妨', 'https://m.bqgl.cc/map//look/188025/')
('民国：不做土匪的流氓不是好军阀', 'https://m.bqgl.cc/map//look/187838/')
('人在洪荒拒绝妖皇', 'https://m.bqgl.cc/map//look/187937/')
('从乱星海开始祸害诸天', 'https://m.bqgl.cc/map//look/188062/')
('重生后，我成了东京深情', 'https://m.bqgl.cc/map//look/188344/')
('盘龙：从水系主宰开始超脱', 'https://m.bqgl.cc/map//look/188470/')
('动物神探', 'https://m.bqgl.cc/map//look/187993/')
('斗罗：供奉殿二小姐，杀伐果断', 'https://m.bqgl.cc/map//look/188603/')
('异能：血液操控！血条越少越无敌', 'https://m.bqgl.cc/map//look/188184/')
('斗罗绝世：我的身体被雪帝穿了', 'https://m.bqgl.cc/map//look/188357/')
('模板加内特，你打成奥尼尔？', 'https://m.bqgl.cc/map//look/188617/')
('规则怪谈：我攻略了诡异', 'https://m.bqgl.cc/map//look/188132/')
('傅律师，太太说她不回头了', 'https://m.bqgl.cc/map//look/188282/')
('我欲修仙，奈何无灵根，点背！', 'https://m.bqgl.cc/map//look/187915/')
('异世纪福音圣男', 'https://m.bqgl.cc/map//look/188319/')
('装甲师：开局校花错拿我甲斗腰带', 'https://m.bqgl.cc/map//look/187833/')
('大唐：从太子李承乾到诸天圣皇！', 'https://m.bqgl.cc/map//look/188303/')
('第一领主[全民求生]', 'https://m.bqgl.cc/map//look/188078/')
('谍战：我拿下了军统女长官', 'https://m.bqgl.cc/map//look/188256/')
('遮天：我苍天霸体，传承十凶法', 'https://m.bqgl.cc/map//look/188375/')
('废土玫瑰！', 'https://m.bqgl.cc/map//look/188253/')
('天才萌宝腹黑娘亲', 'https://m.bqgl.cc/map//look/187853/')
('重回高三，这一次我全都要', 'https://m.bqgl.cc/map//look/188732/')
('重生华娱，从攻略95花开始逆袭', 'https://m.bqgl.cc/map//look/188291/')
('七零易孕娇娇女，馋哭绝嗣京少', 'https://m.bqgl.cc/map//look/188579/')
('西游：长生仙族从五行山喂猴开始', 'https://m.bqgl.cc/map//look/188049/')
('我当爸爸的那些年[快穿]', 'https://m.bqgl.cc/map//look/188777/')
('都市狂龙', 'https://m.bqgl.cc/map//look/188733/')
('斗罗绝世：开局具现黑渊白花', 'https://m.bqgl.cc/map//look/188411/')
('她靠玄术娇养大反派', 'https://m.bqgl.cc/map//look/188660/')
('宇宙级魔神', 'https://m.bqgl.cc/map//look/188741/')
('明末：我崇祯摆烂怎么了？！', 'https://m.bqgl.cc/map//look/188443/')
('听懂毛茸茸说话，我成了警局团宠', 'https://m.bqgl.cc/map//look/188032/')
('惊！被豪门认回的校草是千金！', 'https://m.bqgl.cc/map//look/188493/')
('穿越成一颗星球', 'https://m.bqgl.cc/map//look/188757/')
('西游：开局给太上老君整个活', 'https://m.bqgl.cc/map//look/188722/')
('重生须尽欢', 'https://m.bqgl.cc/map//look/188360/')
('斗罗：当霍雨浩成为终焉之主', 'https://m.bqgl.cc/map//look/188428/')
('火影之平民炮灰从三身术开始', 'https://m.bqgl.cc/map//look/188292/')
('诡异婚配：我诡帝，老婆软糯校花', 'https://m.bqgl.cc/map//look/188503/')
('港综：让你吃瓜，吃瓜到大嫂身上', 'https://m.bqgl.cc/map//look/188423/')
